long,lat,name,cbg,cb,down_stream,up_stream
-121.76961010412879,38.552577736271225,['P10-022-1'],061130105121,061130105121000,"[(-121.77065368468067, 38.55255229786277)]","[(-121.76887675264422, 38.55255629069981)]"
-121.76298539675855,38.55326109212731,['P11-004-1'],061130107032,061130107032015,"[(-121.7629922360421, 38.552515812516056)]","[(-121.7627023845011, 38.55326700212462), (-121.76467330097441, 38.55329546099879)]"
-121.76244845470863,38.55404313441677,['O11-065-1'],061130107032,061130107032006,"[(-121.76242767363921, 38.554764476779916)]","[(-121.76240949461558, 38.55378095640495), (-121.76354296056213, 38.554061867729075)]"
-121.76467330097441,38.55329546099879,['P11-003-1'],061130107032,061130107032015,"[(-121.76298539675855, 38.55326109212731)]","[(-121.76595942953972, 38.55331701717836)]"
-121.76685617071584,38.55333434015779,['P11-001-1'],061130107033,061130107033000,"[(-121.76595942953972, 38.55331701717836)]","[(-121.76688224313995, 38.552507970007404)]"
-121.76595942953972,38.55331701717836,['P11-002-1'],061130107033,061130107033002,"[(-121.76467330097441, 38.55329546099879)]","[(-121.76598284539571, 38.55241193046785), (-121.76685617071584, 38.55333434015779)]"
-121.76683992072417,38.562304240833065,['N11-061-1'],061130105103,061130105103003,"[(-121.76662789907625, 38.56066513584737)]","[(-121.76884720179795, 38.562323891131136)]"
-121.77035931871397,38.548828105221666,['P10-055-1'],061130105121,061130105121004,"[(-121.77149323307289, 38.548841068431955)]","[(-121.77042283714611, 38.54857252297984), (-121.77033855919288, 38.5500787577729)]"
-121.76884720179795,38.562323891131136,['N10-004-1'],061130105051,061130105051018,"[(-121.76683992072417, 38.562304240833065)]","[(-121.7691980899814, 38.56242712617027), (-121.76961413475237, 38.56072013560653), (-121.76871825075116, 38.56255233717773)]"
-121.76354296056213,38.554061867729075,['O11-064-1'],061130107032,061130107032013,"[(-121.76244845470863, 38.55404313441677)]","[(-121.76458913642192, 38.55408275089827)]"
-121.76458913642192,38.55408275089827,['O11-063-1'],061130107032,061130107032013,"[(-121.76354296056213, 38.554061867729075)]",[]
-121.76976538538663,38.553435018834556,['P10-011-1'],061130105121,061130105121000,"[(-121.77086481177014, 38.553448509811)]","[(-121.76891729055988, 38.55342577866847)]"
-121.77054107959334,38.54794852957304,['P10-067-1'],061130105121,061130105121000,"[(-121.77042283714611, 38.54857252297984)]","[(-121.77055371914874, 38.5470204607582)]"
-121.77055371914874,38.5470204607582,['P10-072-1'],061130105121,061130105121000,"[(-121.77054107959334, 38.54794852957304)]",[]
-121.77042283714611,38.54857252297984,['P10-060-1'],061130105121,061130105121004,"[(-121.77035931871397, 38.548828105221666)]","[(-121.76919553083354, 38.54848066266277), (-121.77054107959334, 38.54794852957304)]"
